ZeroMQ Performance Log - Transport: IPC+SHM
========================================================================================================================
ID    Method               Ser(ms)    Send(ms)   Recv(ms)   Deser(ms)  Comm(ms)     GPU(ms)    Total(ms)    Sent(KB)   Recv(KB)  
========================================================================================================================
1     Init                 0.123      0.027      3.636      0.073      3.866        0.000      3.871        0.05       134.84    
2     Embedding            0.010      0.015      60.580     0.026      60.645       0.000      60.645       0.07       0.07      
3     BatchLinear          0.019      0.033      285.131    0.022      285.220      271.523    285.221      0.12       0.17      
4     Matmul               0.027      0.050      499.147    38.969     538.212      6.448      538.212      0.10       65536.10  
5     Matmul               63.988     30.798     286.680    0.039      381.532      0.849      381.533      65536.11   0.09      
6     BatchLinear          0.026      0.041      16.995     0.018      17.095       0.554      17.095       0.11       0.09      
7     BatchLinear          0.024      0.039      235.287    31.427     266.799      0.932      266.800      0.12       32768.15  
8     BatchLinear          29.485     15.524     79.294     0.040      124.375      0.763      124.375      16384.12   0.09      
9     BatchLinear          0.037      0.057      19.329     0.038      19.487       0.682      19.487       0.12       0.17      
10    Matmul               0.142      0.177      508.510    38.717     547.564      0.313      547.565      0.10       65536.10  
11    Matmul               64.002     30.683     279.856    0.030      374.615      0.324      374.615      65536.11   0.09      
12    BatchLinear          0.028      0.040      12.753     0.017      12.849       0.473      12.851       0.11       0.09      
13    BatchLinear          0.024      0.034      225.867    22.317     248.260      0.568      248.260      0.12       32768.15  
14    BatchLinear          18.629     8.475      71.880     0.091      99.094       0.538      99.094       16384.12   0.09      
15    BatchLinear          0.018      0.043      12.666     0.022      12.763       0.606      12.764       0.12       0.17      
16    Matmul               0.022      0.049      449.510    39.868     489.466      0.238      489.466      0.10       65536.10  
17    Matmul               64.526     30.740     269.237    0.017      364.530      0.292      364.530      65536.11   0.09      
18    BatchLinear          0.017      0.032      11.793     0.012      11.862       0.405      11.862       0.11       0.09      
19    BatchLinear          0.016      0.031      157.394    20.071     177.529      0.519      177.529      0.12       32768.15  
20    BatchLinear          17.565     7.980      33.542     0.030      59.131       0.465      59.132       16384.12   0.09      
