ZeroMQ Performance Log (OTP) - Transport: IPC+SHM+OTP
==================================================================================================================================
ID    Method               Ser(ms)    Send(ms)   Recv(ms)   Deser(ms)  Comm(ms)     GPU(ms)    Total(ms)    Sent(KB)   Recv(KB)  
==================================================================================================================================
1     Init                 0.049      0.025      7.937      0.087      8.106        0.000      8.107        0.05       134.84    
2     Embedding            0.007      0.012      4.790      0.007      4.821        0.000      4.822        0.07       0.07      
3     BatchLinear          0.017      0.036      35.957     0.017      36.037       0.445      36.037       0.12       0.17      
4     Matmul               0.014      0.029      43.870     0.017      43.940       0.169      43.940       0.10       0.09      
5     Matmul               0.013      0.026      36.072     0.015      36.136       0.158      36.136       0.10       0.09      
6     BatchLinear          0.016      0.030      19.062     0.023      19.144       0.281      19.145       0.11       0.09      
7     BatchLinear          0.029      0.054      7.787      0.020      7.898        0.355      7.898        0.12       0.13      
8     BatchLinear          0.037      0.055      23.096     0.031      23.238       0.296      23.239       0.11       0.09      
9     BatchLinear          0.022      0.033      41.387     0.035      41.496       0.431      41.496       0.12       0.17      
10    Matmul               0.022      0.035      40.604     0.025      40.700       0.163      40.701       0.10       0.09      
11    Matmul               0.023      0.041      37.517     0.011      37.604       0.147      37.604       0.10       0.09      
12    BatchLinear          0.016      0.030      21.991     0.017      22.065       0.227      22.065       0.11       0.09      
13    BatchLinear          0.020      0.039      29.041     0.015      29.123       0.314      29.124       0.12       0.13      
14    BatchLinear          0.022      0.040      18.985     0.014      19.070       0.251      19.070       0.11       0.09      
15    BatchLinear          0.036      0.053      9.845      0.025      9.967        0.358      9.967        0.12       0.17      
16    Matmul               0.015      0.028      37.768     0.014      37.834       0.158      37.834       0.10       0.09      
17    Matmul               0.013      0.027      38.170     0.014      38.233       0.143      38.233       0.10       0.09      
18    BatchLinear          0.015      0.029      22.867     0.016      22.936       0.221      22.937       0.11       0.09      
19    BatchLinear          0.017      0.037      10.909     0.018      10.989       0.288      10.989       0.12       0.13      
20    BatchLinear          0.019      0.044      22.215     0.017      22.307       0.223      22.307       0.11       0.09      
21    BatchLinear          0.016      0.032      36.439     0.015      36.510       0.318      36.510       0.12       0.17      
22    Matmul               0.015      0.026      40.204     0.018      40.274       0.148      40.275       0.10       0.09      
23    Matmul               0.015      0.028      34.438     0.019      34.510       0.145      34.510       0.10       0.09      
24    BatchLinear          0.016      0.039      19.838     0.053      19.960       0.235      19.961       0.11       0.09      
25    BatchLinear          0.022      0.045      30.572     0.021      30.671       0.331      30.671       0.12       0.13      
26    BatchLinear          0.027      0.050      19.899     0.020      20.010       0.272      20.011       0.11       0.09      
27    BatchLinear          0.020      0.040      10.003     0.018      10.090       0.309      10.090       0.12       0.17      
28    Matmul               0.018      0.032      7.705      0.022      7.785        0.150      7.785        0.10       0.09      
29    Matmul               0.015      0.028      4.516      0.012      4.577        0.153      4.578        0.10       0.09      
30    BatchLinear          0.015      0.029      8.878      0.015      8.947        0.241      8.947        0.11       0.09      
31    BatchLinear          0.031      0.068      30.342     0.030      30.490       0.353      30.491       0.12       0.13      
32    BatchLinear          0.023      0.048      3.416      0.018      3.513        0.268      3.514        0.11       0.09      
33    BatchLinear          0.020      0.036      10.209     0.013      10.285       0.373      10.286       0.12       0.17      
34    Matmul               0.014      0.027      8.599      0.014      8.661        0.165      8.662        0.10       0.09      
35    Matmul               0.013      0.024      4.903      0.011      4.956        0.176      4.956        0.10       0.09      
36    BatchLinear          0.012      0.024      2.333      0.010      2.384        0.271      2.384        0.11       0.09      
37    BatchLinear          0.018      0.038      4.778      0.014      4.854        0.428      4.854        0.12       0.13      
38    BatchLinear          0.022      0.037      3.697      0.015      3.778        0.347      3.778        0.11       0.09      
39    BatchLinear          0.024      0.038      3.518      0.017      3.603        0.570      3.603        0.12       0.17      
40    Matmul               0.024      0.033      9.796      0.012      9.872        0.245      9.873        0.10       0.09      
41    Matmul               0.013      0.023      5.568      0.010      5.617        0.238      5.618        0.10       0.09      
42    BatchLinear          0.012      0.023      2.481      0.010      2.531        0.347      2.531        0.11       0.09      
43    BatchLinear          0.019      0.043      5.309      0.014      5.391        0.431      5.392        0.12       0.13      
44    BatchLinear          0.021      0.037      3.736      0.014      3.815        0.398      3.816        0.11       0.09      
45    BatchLinear          0.019      0.036      3.448      0.016      3.524        0.577      3.524        0.12       0.17      
46    Matmul               0.018      0.033      10.212     0.012      10.283       0.274      10.283       0.10       0.09      
47    Matmul               0.013      0.024      10.936     0.014      10.996       0.139      10.997       0.10       0.09      
48    BatchLinear          0.015      0.030      1.645      0.010      1.705        0.210      1.706        0.11       0.09      
49    BatchLinear          0.020      0.037      3.926      0.015      4.003        0.313      4.003        0.12       0.13      
50    BatchLinear          0.030      0.054      3.653      0.014      3.758        0.398      3.758        0.11       0.09      
51    BatchLinear          0.017      0.036      3.343      0.017      3.419        0.548      3.419        0.12       0.17      
52    Matmul               0.017      0.032      7.053      0.011      7.120        0.174      7.121        0.10       0.09      
53    Matmul               0.012      0.023      3.852      0.010      3.902        0.165      3.902        0.10       0.09      
54    BatchLinear          0.013      0.023      1.909      0.009      1.958        0.220      1.958        0.11       0.09      
55    BatchLinear          0.017      0.043      3.996      0.013      4.073        0.330      4.074        0.12       0.13      
56    BatchLinear          0.022      0.038      22.136     0.017      22.223       0.403      22.223       0.11       0.09      
57    BatchLinear          0.017      0.029      14.562     0.017      14.635       0.414      14.636       0.12       0.17      
58    Matmul               0.015      0.030      17.294     0.013      17.359       0.187      17.360       0.10       0.09      
59    Matmul               0.012      0.027      11.418     0.014      11.481       0.116      11.481       0.10       0.09      
60    BatchLinear          0.015      0.030      9.363      0.014      9.430        0.238      9.431        0.11       0.09      
61    BatchLinear          0.022      0.040      34.063     0.015      34.150       0.285      34.150       0.12       0.13      
62    BatchLinear          0.021      0.043      20.320     0.026      20.425       0.245      20.426       0.11       0.09      
63    BatchLinear          0.017      0.033      42.211     0.019      42.291       0.356      42.292       0.12       0.17      
64    Matmul               0.016      0.030      45.939     0.024      46.023       0.147      46.024       0.10       0.09      
65    Matmul               0.015      0.029      37.180     0.019      37.255       0.151      37.255       0.10       0.09      
66    BatchLinear          0.015      0.031      18.891     0.013      18.959       0.209      18.959       0.11       0.09      
67    BatchLinear          0.024      0.047      4.028      0.026      4.138        0.276      4.139        0.12       0.13      
68    BatchLinear          0.035      0.062      5.617      0.024      5.748        0.292      5.749        0.11       0.09      
69    BatchLinear          0.029      0.052      3.281      0.024      3.394        0.433      3.394        0.12       0.17      
