ZeroMQ Performance Log (Ours) - Transport: IPC+SHM+OURS
==================================================================================================================================
ID    Method               Ser(ms)    Send(ms)   Recv(ms)   Deser(ms)  Comm(ms)     GPU(ms)    Total(ms)    Sent(KB)   Recv(KB)  
==================================================================================================================================
1     Init                 0.053      0.023      7.800      0.067      7.949        0.000      7.950        0.05       134.84    
2     Embedding            0.008      0.014      2.171      0.005      2.201        0.000      2.201        0.07       0.07      
3     BatchLinear          0.012      0.019      17.369     0.015      17.425       0.478      17.425       0.12       0.17      
4     Matmul               0.014      0.025      7.856      0.010      7.912        0.185      7.912        0.10       0.09      
5     Matmul               0.012      0.028      7.240      0.010      7.298        0.151      7.299        0.10       0.09      
6     BatchLinear          0.012      0.026      1.685      0.009      1.738        0.251      1.738        0.11       0.09      
7     BatchLinear          0.012      0.024      10.633     0.011      10.689       0.226      10.689       0.12       0.13      
8     BatchLinear          0.016      0.030      7.357      0.011      7.421        0.325      7.422        0.11       0.09      
9     BatchLinear          0.011      0.022      4.058      0.011      4.106        0.276      4.107        0.12       0.17      
10    Matmul               0.010      0.023      9.682      0.008      9.729        0.134      9.730        0.10       0.09      
11    Matmul               0.010      0.020      10.110     0.009      10.154       0.144      10.155       0.10       0.09      
12    BatchLinear          0.010      0.022      5.236      0.007      5.281        0.188      5.281        0.11       0.09      
13    BatchLinear          0.010      0.020      23.973     0.010      24.020       0.221      24.022       0.12       0.13      
14    BatchLinear          0.011      0.026      3.543      0.009      3.593        0.241      3.594        0.11       0.09      
15    BatchLinear          0.011      0.021      9.597      0.022      9.665        0.388      9.666        0.12       0.17      
16    Matmul               0.015      0.035      10.014     0.016      10.090       0.180      10.091       0.10       0.09      
17    Matmul               0.013      0.032      1.770      0.010      1.832        0.140      1.832        0.10       0.09      
18    BatchLinear          0.012      0.060      1.215      0.009      1.302        0.259      1.303        0.11       0.09      
19    BatchLinear          0.011      0.024      11.577     0.013      11.634       0.256      11.634       0.12       0.13      
20    BatchLinear          0.014      0.031      7.863      0.012      7.929        0.318      7.930        0.11       0.09      
21    BatchLinear          0.014      0.030      9.530      0.016      9.599        0.379      9.599        0.12       0.17      
22    Matmul               0.012      0.026      9.804      0.011      9.861        0.141      9.862        0.10       0.09      
23    Matmul               0.015      0.035      2.224      0.012      2.296        0.174      2.296        0.10       0.09      
24    BatchLinear          0.013      0.027      1.254      0.008      1.308        0.226      1.309        0.11       0.09      
25    BatchLinear          0.011      0.019      9.304      0.009      9.349        0.230      9.349        0.12       0.13      
26    BatchLinear          0.014      0.032      7.953      0.008      8.014        0.222      8.014        0.11       0.09      
27    BatchLinear          0.009      0.018      2.290      0.010      2.334        0.289      2.334        0.12       0.17      
28    Matmul               0.010      0.022      9.611      0.008      9.657        0.124      9.658        0.10       0.09      
29    Matmul               0.010      0.020      1.789      0.008      1.831        0.106      1.832        0.10       0.09      
30    BatchLinear          0.012      0.033      1.768      0.008      1.827        0.188      1.827        0.11       0.09      
